TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH
80,55,42,68,38,29,91,67,45,30.38,10,5,0,12,5,27
66,61,45,59,47,28,85,71,46,28.62,10,6,1,12,4,33
73,56,41,59,49,28,85,69,41,31.14,10,6,4,9,2,21
83,57,37,66,48,22,88,74,54,30.24,10,8,2,15,5,25
62,54,35,61,46,28,96,65,48,29.36,10,7,0,22,6,32
74,56,42,52,47,27,94,64,47,31.71,10,7,3,17,4,27
57,45,36,62,43,32,98,74,43,30.36,10,9,3,14,6,40
72,53,28,73,43,23,80,78,45,29.27,10,8,0,13,8,36
83,54,42,62,40,26,87,54,45,30.71,10,7,0,10,2,31
73,55,47,61,44,34,91,70,46,31.5,10,4,5,18,8,32
70,55,36,69,43,30,85,65,52,31.84,10,6,1,12,9,31
62,60,43,50,43,30,91,68,52,30.81,10,5,3,15,4,33
62,60,29,65,49,33,90,67,59,28.04,10,8,2,17,4,32
93,51,38,73,34,43,85,72,54,28.94,10,5,0,22,2,35
87,55,43,58,39,42,77,75,56,29.86,10,7,0,19,7,28
71,45,32,65,42,28,91,72,51,30.21,10,6,5,17,5,30
76,51,45,60,47,26,80,65,45,29.06,10,9,3,18,3,20
54,50,40,60,45,25,83,71,49,30.63,10,9,3,19,2,36
59,57,40,60,44,23,97,69,52,30.8,10,5,6,14,6,31
97,54,35,50,43,25,95,69,42,30.67,10,4,2,3,6,27
70,54,40,71,43,27,90,70,56,28.81,10,8,6,21,7,27
71,53,43,70,41,29,85,74,51,29.4,10,5,4,15,0,24
67,60,38,59,44,36,96,67,53,29.86,10,10,1,14,6,25
48,54,35,57,51,21,103,62,56,28.47,10,6,2,2,4,23
70,50,43,66,51,25,108,60,49,30.43,10,2,1,11,2,23
70,49,37,60,41,29,92,64,55,30.08,10,8,3,21,5,32
56,58,33,52,42,24,96,71,52,29.24,10,4,1,7,7,33
67,53,33,65,36,34,85,68,54,30.81,10,9,2,16,1,32
52,49,31,41,55,38,77,60,45,30.4,10,10,0,18,3,37
84,46,33,67,54,27,77,71,43,32.04,10,8,2,14,4,30
62,49,29,39,58,30,79,68,59,29.76,10,3,3,16,7,32
70,59,49,61,44,32,99,65,45,29.86,10,4,3,21,4,35
73,53,47,66,48,28,82,69,38,29.02,10,6,0,14,2,27
61,64,39,45,47,28,76,72,46,30.23,10,1,0,8,5,25
73,58,38,55,44,33,82,61,45,31.2,10,8,0,19,5,36
59,53,35,74,49,30,96,71,55,30.63,10,8,0,24,6,24
78,56,41,61,45,35,91,74,38,28.33,10,8,4,27,1,34
76,58,40,62,44,34,86,63,47,30.38,10,7,0,24,5,34
70,56,39,80,49,23,65,67,50,30.15,10,7,1,17,6,41
71,63,35,74,48,30,82,66,47,32.63,10,8,1,10,2,35
68,48,37,68,40,29,77,67,49,30.72,10,7,1,17,2,34
78,53,33,46,40,26,80,66,53,30.23,10,6,4,10,10,30
45,54,43,56,48,27,85,74,56,29.3,10,9,1,8,3,26
78,54,41,75,41,28,80,69,48,30.61,10,6,2,18,5,38
78,60,42,40,47,30,84,57,45,30.6,10,6,2,12,7,29
81,44,45,78,50,30,88,73,53,29.96,10,5,0,16,3,32
73,47,44,67,43,23,77,69,40,29.37,10,5,1,11,7,35
50,60,26,41,37,33,75,72,43,31.06,10,9,9,13,5,29
69,55,46,54,50,31,93,74,50,29.52,10,8,0,15,8,31
70,57,43,77,45,22,82,72,47,30.88,10,9,5,16,3,32
70,54,38,66,41,32,93,68,47,32.56,10,8,4,19,6,36
62,53,44,58,43,26,64,67,51,30.76,10,5,5,13,3,23
70,48,34,65,37,37,88,64,57,31.85,10,3,2,23,5,28
71,58,46,56,48,33,73,70,43,30.47,10,8,2,18,3,32
67,54,39,60,45,38,77,81,54,29.23,10,7,1,23,3,31
79,60,38,64,54,34,85,76,52,30.47,10,7,6,25,6,23
47,49,45,54,53,20,64,70,42,31.11,10,6,4,21,6,27
71,47,36,56,46,28,82,70,46,29.14,10,4,0,17,4,27
72,57,31,53,44,27,75,74,52,30.47,10,8,1,21,8,29
87,51,40,64,43,26,85,67,46,29.76,10,11,1,9,4,21
75,60,33,70,50,36,82,68,50,30.48,10,6,1,21,6,33
79,65,40,71,45,26,79,75,50,31.58,10,5,0,15,6,32
44,58,28,58,43,29,99,77,54,29.68,10,8,2,15,6,32
76,49,35,55,45,34,70,66,54,31.08,10,7,0,20,7,31
58,58,51,59,51,35,82,69,51,30.95,10,7,2,17,4,24
55,52,38,53,46,26,84,64,60,29.73,10,6,1,5,6,23
59,56,46,44,38,34,101,63,49,29.71,10,9,4,12,4,32
73,54,37,54,51,22,85,71,57,29.95,10,9,1,12,6,28
55,44,39,58,50,27,82,65,51,30.23,10,9,0,14,8,34
95,56,43,71,44,30,79,76,49,29.96,10,8,5,13,5,31
70,57,42,50,45,27,86,70,53,29.29,10,7,4,6,6,25
92,55,38,36,54,25,75,68,43,28.65,10,6,5,24,5,28
71,55,38,39,45,32,85,65,49,29.08,10,5,1,11,7,28
74,45,40,71,42,27,70,74,52,31.08,10,7,3,18,3,26
76,61,32,55,52,18,99,76,46,29.99,10,6,5,14,5,31
72,52,37,66,48,31,79,72,50,30.26,10,6,2,16,2,31
81,60,35,51,42,43,71,73,49,30.32,10,6,3,18,5,28
80,61,44,69,34,28,75,63,47,30.27,10,6,1,20,7,27
67,50,42,69,40,26,85,61,53,29.04,10,8,0,18,4,21
67,60,34,53,36,23,96,72,54,30.46,10,10,8,12,3,29
74,55,38,67,33,36,64,69,43,29.75,10,5,7,22,4,21
84,53,33,48,52,35,87,64,62,30.11,10,6,2,23,4,28
76,58,45,78,47,21,89,73,47,31.67,10,3,2,9,6,28
78,50,40,63,38,30,89,67,50,29.92,10,5,2,19,4,31
59,53,43,57,37,28,97,66,51,28.82,10,4,1,20,8,25
77,57,37,76,43,27,70,62,48,31.26,10,5,5,18,5,29
95,55,44,58,36,22,75,68,48,30.38,10,7,5,16,6,29
83,63,25,56,42,22,88,60,58,31.66,10,5,0,18,1,32
76,47,42,73,47,31,85,67,54,30.84,10,4,2,15,4,22
85,60,35,58,48,31,91,66,53,28.78,10,9,0,14,9,29
68,51,47,51,40,23,74,69,45,32.13,10,8,5,6,4,29
54,52,44,52,51,36,79,78,56,29.89,10,5,2,22,6,20
80,53,36,39,44,32,73,62,48,31.67,10,8,0,19,5,30
56,49,36,42,44,22,85,76,45,31.55,10,8,5,9,6,34
75,57,39,50,48,38,91,76,42,30.45,10,5,2,15,6,31
70,52,39,50,49,28,93,68,60,30.48,10,5,0,11,4,31
50,51,36,74,41,26,77,69,51,30.67,10,4,7,10,5,24
64,55,41,54,49,36,66,73,53,28.64,10,8,5,9,4,32
73,58,42,61,46,22,78,70,51,30.33,10,7,1,18,6,36
69,55,36,61,47,30,104,71,38,30.29,10,7,2,18,7,33
80,53,40,54,51,28,86,77,49,32.16,10,8,2,10,3,29
57,57,42,60,38,21,82,63,51,30.53,10,9,0,11,7,28
60,45,40,57,41,26,86,68,50,28.44,10,8,4,15,3,27
51,55,36,59,50,26,82,65,49,29.85,10,8,0,25,2,29
70,63,37,43,46,24,72,77,61,31.13,10,7,3,16,2,37
76,58,49,64,40,26,106,69,48,29.63,10,9,7,9,7,28
53,52,42,67,35,36,73,66,49,30.4,10,4,4,15,4,35
71,49,37,53,45,29,77,68,54,31.63,10,5,2,26,4,30
79,49,51,61,38,32,62,55,47,29.26,10,8,2,10,2,34
89,59,36,62,53,31,76,67,47,28.77,10,6,1,7,5,28
76,58,48,56,50,34,75,74,46,29.13,10,6,4,13,6,20
76,64,41,64,42,28,70,69,47,30.67,10,7,2,14,5,22
66,54,41,83,55,43,105,71,58,29.29,10,7,2,10,0,34
74,50,30,59,34,28,90,56,53,30.33,10,7,0,9,2,29
65,61,47,48,38,30,98,67,54,29.77,10,8,5,16,2,30
69,68,43,82,46,37,75,73,51,28.61,10,6,3,11,2,31
60,59,42,51,34,28,84,64,45,30.42,10,6,3,11,6,27
68,54,48,73,39,28,73,69,52,27.9,10,7,1,21,3,33
74,56,41,77,50,29,85,69,53,28.44,10,7,0,11,4,29
79,53,48,63,41,26,87,63,54,29.44,10,4,0,15,6,26
78,55,44,68,42,21,81,66,54,29.45,10,7,4,25,5,20
59,50,43,54,49,33,76,64,46,30.46,10,8,7,4,6,28
71,51,41,51,52,29,96,71,62,29.94,10,8,0,23,6,25
62,54,31,49,35,34,106,74,51,30.78,10,6,0,4,4,30
63,58,41,44,41,30,72,64,49,30.53,10,6,4,23,8,26
74,53,44,60,41,26,97,65,45,29.44,10,8,1,15,7,23
61,49,36,69,53,38,97,70,50,27.75,10,6,4,11,1,33
60,55,41,52,47,31,67,74,50,30.0,10,1,3,18,4,27
57,47,41,51,42,38,95,71,51,29.65,10,2,1,23,6,35
56,49,43,62,52,35,103,72,53,30.73,10,6,1,17,4,28
72,47,40,66,41,22,85,69,54,30.8,10,8,2,16,6,27
58,52,38,60,44,27,84,73,54,30.2,10,7,7,18,8,25
60,61,40,40,30,35,86,71,51,29.72,10,5,0,21,3,30
66,45,36,51,48,32,87,69,54,30.11,10,6,1,10,7,31
84,53,40,61,51,27,112,77,44,30.45,10,6,6,19,6,36
64,68,43,75,50,41,70,73,51,29.27,10,4,4,12,0,25
54,45,39,55,42,31,87,63,52,31.52,10,10,1,20,7,31
72,50,43,49,41,30,72,73,47,29.78,10,6,1,19,6,27
83,51,43,65,40,32,91,75,47,28.96,10,6,1,19,1,30
76,54,47,69,50,25,89,67,48,29.74,10,10,1,14,7,35
81,54,36,47,47,27,71,71,49,29.77,10,3,1,20,5,31
57,51,37,52,44,26,101,77,47,30.37,10,5,6,19,3,20
61,58,37,78,43,29,83,63,51,29.86,10,7,7,16,3,29
62,58,54,45,40,30,80,62,53,29.53,10,6,1,10,6,28
83,58,38,61,55,20,100,74,41,30.59,10,7,0,13,4,32
60,50,33,60,45,25,84,69,53,30.33,10,8,1,11,6,24
68,50,35,44,49,26,80,67,48,30.19,10,2,4,11,5,32
78,44,30,63,42,28,70,69,43,27.27,10,4,8,8,2,29
67,57,48,65,51,31,74,75,46,30.82,10,10,5,10,4,26
63,65,41,42,38,36,86,75,50,29.19,10,5,2,23,4,25
70,57,41,74,51,26,80,69,49,29.79,10,5,1,20,7,31
63,49,36,55,47,33,89,69,52,29.36,10,10,2,6,2,25
58,54,48,65,48,31,96,65,58,30.51,10,7,4,17,4,20
71,60,34,67,38,29,83,66,48,29.36,10,7,1,9,4,30
87,47,39,71,48,35,91,73,53,28.39,10,7,4,8,4,31
91,54,38,51,53,34,74,70,42,30.68,10,6,3,14,5,28
69,54,47,76,44,29,88,71,39,29.2,10,6,9,9,2,29
73,51,29,52,38,28,95,70,54,29.67,10,11,2,14,6,28
72,52,42,51,50,32,84,75,57,30.93,10,2,3,15,4,41
59,49,37,57,56,31,94,69,51,30.86,10,7,9,10,4,31
86,62,34,61,32,28,87,67,54,30.23,10,5,6,22,4,19
90,54,50,62,42,27,84,79,60,30.81,10,8,4,13,3,24
82,55,36,57,45,19,95,73,44,30.93,10,6,3,17,5,32
71,52,39,75,44,29,97,65,50,31.07,10,5,2,12,6,21
82,48,38,48,41,34,73,71,47,29.4,10,4,5,19,2,35
85,62,45,57,55,26,101,73,55,29.53,10,6,7,11,2,31
56,59,38,58,41,39,81,74,56,29.27,10,10,0,18,5,17
71,51,46,55,41,20,88,68,49,30.53,10,6,0,6,3,30
69,55,34,59,44,39,103,68,51,30.43,10,7,5,19,4,20
68,47,45,59,51,35,80,70,48,28.46,10,9,2,3,3,21
59,46,37,68,44,34,98,77,42,29.8,10,5,0,15,7,40
54,58,47,66,46,33,90,77,61,28.99,10,5,2,3,4,28
48,58,35,58,39,25,84,62,44,29.48,10,6,1,17,8,32
58,46,43,56,39,35,107,65,46,30.84,10,8,3,9,4,28
80,53,40,52,42,27,82,73,50,31.42,10,5,5,12,3,28
65,56,35,57,45,30,90,71,53,29.66,10,4,2,14,4,34
70,62,40,56,46,35,70,66,45,30.47,10,8,0,22,5,38
58,62,38,61,49,29,76,71,45,31.03,10,5,3,7,8,31
52,56,39,64,43,36,92,72,53,29.15,10,1,4,12,2,26
75,51,39,63,42,27,68,78,45,30.14,10,6,2,19,3,17
66,56,41,59,45,25,106,65,43,30.44,10,6,3,10,1,26
70,53,40,48,45,26,81,66,57,30.21,10,8,5,11,8,39
78,49,41,51,40,32,85,70,47,30.58,10,7,7,8,3,35
68,53,24,71,47,38,92,76,48,28.45,10,8,3,19,5,27
89,49,38,75,50,22,103,68,52,30.2,10,7,2,9,6,25
84,50,31,52,52,26,71,61,54,30.91,10,4,3,20,8,26
65,57,43,50,39,30,76,64,45,31.14,10,7,5,11,7,38
70,43,37,58,46,27,84,68,53,31.21,10,9,6,12,4,40
70,58,32,51,39,30,84,69,50,31.15,10,4,1,11,2,38
74,57,39,50,47,42,73,78,45,30.65,10,5,1,10,8,26
64,59,34,75,45,30,79,69,46,29.83,10,3,5,15,5,35
52,55,44,66,45,28,86,66,54,30.77,10,9,0,15,3,33
73,54,40,83,42,17,80,67,52,31.14,10,8,2,22,4,25
62,53,40,44,35,37,92,68,53,32.24,10,6,4,9,5,36
64,55,35,55,40,37,85,69,50,29.73,10,7,0,16,4,34
83,56,45,74,39,34,79,66,47,31.3,10,6,1,12,5,30
68,55,36,56,45,33,90,75,43,30.58,10,5,3,13,4,29
70,50,20,68,54,33,84,72,54,29.77,10,5,4,11,5,29
70,49,46,52,48,22,95,76,49,30.16,10,7,4,20,6,25
73,48,40,60,41,29,74,81,60,31.18,10,7,2,19,9,25
68,47,47,66,53,29,73,78,53,30.9,10,9,0,7,3,34
63,54,31,70,46,31,100,75,49,30.57,10,4,4,17,4,32
76,53,45,47,36,21,83,71,57,30.94,10,8,5,18,5,34
82,47,38,64,50,26,85,72,58,30.73,10,3,4,18,8,19
66,56,41,46,44,26,67,71,55,30.35,10,5,5,14,5,27
72,48,43,63,42,24,81,61,48,29.56,10,8,1,16,2,34
68,55,51,46,42,28,92,66,48,28.43,10,5,3,12,2,30
62,60,40,56,49,37,85,64,47,29.88,10,7,1,11,2,27
61,53,28,70,49,26,92,72,37,28.35,10,4,2,11,5,36
71,53,33,64,39,24,81,65,53,29.96,10,9,1,8,10,31
62,57,35,53,46,35,81,56,53,29.52,10,5,4,7,5,32
67,59,32,47,53,32,99,67,53,30.69,10,3,3,13,5,23
63,54,39,88,43,29,74,70,58,29.49,10,8,0,11,7,30
78,57,41,66,43,34,95,73,55,30.97,10,6,1,14,4,36
81,57,42,56,49,35,56,74,47,31.38,10,4,4,24,3,30
70,58,34,57,44,29,78,74,44,30.55,10,5,0,12,10,26
50,62,39,64,42,26,81,65,46,30.49,10,8,5,3,5,28
60,55,36,72,51,22,96,71,46,31.48,10,5,0,16,6,29
72,52,43,74,40,27,78,71,50,30.27,10,3,2,14,1,22
81,55,36,69,50,27,78,71,47,31.25,10,5,0,11,7,30
72,58,35,70,40,36,88,73,46,30.1,10,6,0,25,3,36
80,64,44,69,48,23,67,60,47,30.17,10,7,5,13,3,26
86,47,32,72,46,27,76,73,54,30.09,10,3,4,15,5,36
63,57,33,57,45,37,94,73,39,29.64,10,9,2,13,2,25
55,48,42,68,45,29,95,70,54,30.03,10,7,3,26,4,30
66,63,37,63,43,31,86,62,52,30.08,10,9,6,16,0,28
81,49,46,59,45,20,82,74,46,28.97,10,11,5,11,1,31
58,58,43,59,43,24,116,74,55,29.77,10,9,1,10,4,33
81,62,40,62,38,23,72,74,54,31.09,10,7,5,18,5,33
59,51,33,66,57,34,99,68,46,30.52,10,9,1,17,3,27
77,53,39,54,48,24,91,77,47,29.03,10,3,7,17,7,33
86,58,33,52,41,37,90,69,44,32.21,10,5,2,15,5,35
77,54,35,57,45,30,92,71,55,29.75,10,7,2,16,8,40
71,56,36,38,45,23,81,72,47,31.28,10,7,2,23,5,36
62,60,46,67,44,30,108,68,50,32.28,10,10,0,10,1,29
79,52,38,63,45,26,74,81,46,30.13,10,6,1,6,5,21
76,53,40,67,47,32,90,85,53,30.18,10,7,2,18,3,31
75,52,39,74,42,29,102,73,47,31.2,10,5,2,24,3,22
81,55,32,67,37,27,78,69,52,30.88,10,10,5,18,3,33
88,59,45,70,47,32,80,79,56,28.39,10,8,4,15,4,29
72,49,40,41,45,23,78,72,52,30.61,10,11,0,16,7,21
71,50,34,65,51,31,92,69,61,30.08,10,3,1,22,5,35
76,54,39,64,44,18,104,69,39,30.98,10,9,2,10,4,31
76,56,41,60,45,26,101,64,56,29.84,10,7,9,18,4,18
72,51,44,52,46,29,86,75,52,29.54,10,8,1,14,5,26
71,55,40,66,46,27,81,66,53,29.62,10,7,3,10,4,30
73,49,37,38,44,23,85,65,45,29.83,10,4,2,9,9,31
65,56,46,69,50,26,93,69,48,31.7,10,5,0,15,4,30
81,52,37,69,42,25,80,75,46,30.29,10,9,5,18,6,20
73,52,47,53,32,19,80,71,52,29.21,10,6,6,17,2,24
87,65,30,56,48,29,65,71,45,30.29,10,6,3,20,6,34
68,55,40,60,35,31,91,66,49,28.81,10,6,3,17,4,34
66,52,46,69,45,28,109,68,58,28.29,10,4,0,23,3,35
59,57,36,60,42,32,77,70,44,30.65,10,7,8,13,5,37
82,52,36,59,52,30,76,77,36,31.34,10,5,1,7,4,21
76,54,35,54,39,35,76,66,46,30.56,10,7,0,12,2,34
61,57,42,53,47,28,66,69,51,29.4,10,6,1,8,6,36
76,57,30,54,36,22,86,73,58,30.28,10,9,0,17,3,17
76,52,38,58,39,34,87,76,52,31.55,10,5,0,11,2,23
66,58,35,69,34,31,79,73,49,30.59,10,6,1,9,3,33
79,49,42,71,46,33,72,75,47,29.2,10,6,1,12,3,26
58,59,40,75,49,30,63,60,36,30.08,10,4,4,12,6,29
56,52,42,61,44,32,74,65,47,29.84,10,6,2,16,5,25
68,57,30,70,48,28,80,68,48,28.53,10,5,1,15,9,35
65,43,44,75,37,33,73,76,52,30.41,10,7,4,16,2,22
92,45,41,58,42,29,92,67,38,30.68,10,4,2,23,6,25
86,49,38,66,46,26,76,62,58,31.41,10,9,0,21,4,29
82,55,41,57,44,30,89,77,41,29.76,10,7,0,12,1,31
72,53,46,70,42,36,80,75,56,29.43,10,2,2,14,5,36
73,52,29,62,47,37,88,65,49,29.5,10,6,2,17,6,27
70,57,37,52,41,20,89,71,49,28.54,10,9,3,6,3,34
61,52,35,58,46,29,87,71,47,29.83,10,8,1,14,8,34
78,51,31,58,43,32,87,67,39,31.37,10,7,2,13,8,31
62,53,30,59,41,13,63,69,55,30.85,10,0,1,19,6,26
65,49,31,43,40,30,74,70,52,30.4,10,7,2,17,5,23
56,65,51,63,42,28,96,68,57,29.35,10,8,0,16,2,33
70,57,32,75,54,34,97,66,54,30.15,10,11,0,25,5,28
63,61,33,35,45,30,85,60,45,30.05,10,6,1,25,7,30
65,50,34,75,40,33,77,67,54,30.98,10,3,6,15,3,26
56,48,37,63,53,23,87,72,43,28.89,10,9,4,20,2,24
63,52,45,39,52,27,89,62,45,28.8,10,4,2,8,8,33
38,59,53,72,35,28,77,67,41,29.56,10,8,3,18,7,41
69,50,39,64,48,30,81,61,55,28.13,10,7,4,13,4,33
71,50,44,68,44,31,92,79,49,29.73,10,8,4,16,3,30
60,45,36,58,39,33,65,62,41,31.06,10,7,3,19,6,33
65,57,39,55,45,26,86,68,49,30.21,10,7,1,13,4,22
83,56,47,64,37,28,79,73,47,29.68,10,9,2,15,5,28
73,64,41,67,42,27,95,71,57,31.16,10,3,2,22,7,36
47,54,34,64,48,24,91,66,48,30.64,10,6,1,13,5,27
62,48,43,68,42,23,78,70,53,29.0,10,5,1,20,7,22
59,55,37,51,43,33,92,70,56,29.91,10,5,1,9,3,34
71,56,43,56,46,35,88,73,60,28.79,10,6,1,18,2,33
81,53,38,43,50,29,80,68,64,29.58,10,10,0,13,6,21
78,45,36,52,43,23,74,65,47,29.7,10,7,2,27,4,27
60,44,33,60,53,29,90,61,51,30.86,10,8,4,13,3,23
80,58,42,33,53,36,80,66,52,29.47,10,6,0,16,5,27
76,54,47,56,39,44,76,70,51,27.42,10,7,6,18,5,20
49,55,35,64,52,25,88,72,52,29.43,10,4,2,11,4,27
76,57,50,43,37,27,84,70,51,30.34,10,7,1,15,8,14
64,56,40,62,46,34,82,74,53,30.54,10,4,4,19,5,27
76,63,47,48,44,28,74,67,52,30.72,10,7,0,24,2,28
81,49,35,59,36,35,76,70,49,30.74,10,5,3,12,4,27
63,41,40,69,46,25,93,72,54,29.92,10,8,2,15,4,34
81,52,42,54,48,41,93,65,54,30.73,10,6,4,8,6,28
68,55,33,57,38,23,76,69,50,30.34,10,7,2,25,5,26
67,53,38,59,46,29,86,62,53,29.61,10,8,0,9,4,31
73,56,27,71,44,28,92,69,46,29.86,10,5,2,21,7,28
89,57,49,71,48,35,82,65,49,30.38,10,7,2,5,2,29
70,63,30,63,47,25,81,77,50,31.02,10,6,6,23,10,30
76,55,35,58,44,28,66,66,47,30.0,10,6,3,17,2,37
67,55,35,56,40,32,74,74,42,28.37,10,4,5,18,3,26
80,57,37,49,46,25,87,69,55,29.5,10,6,5,12,4,32
65,48,35,53,42,24,100,66,45,29.54,10,8,6,20,4,28
62,47,38,66,37,35,98,71,45,30.17,10,5,0,21,1,36
75,62,52,74,50,30,89,66,45,29.43,10,4,2,17,4,30
84,49,27,48,45,35,77,72,56,30.92,10,2,4,25,1,20
82,58,45,46,38,34,104,67,46,30.57,10,6,5,12,5,22
66,48,31,68,46,40,75,76,40,30.93,10,1,5,26,3,37
71,52,37,51,53,32,92,66,43,29.2,10,7,9,17,4,25
68,55,39,49,46,37,91,60,40,30.7,10,2,2,18,9,18
72,52,43,65,46,38,89,70,51,29.17,10,6,1,12,3,21
73,58,36,59,44,28,80,67,41,30.66,10,10,2,14,5,29
74,52,50,73,41,27,86,68,49,29.19,10,6,1,10,7,32
75,52,43,58,41,28,88,77,50,29.56,10,9,2,14,7,35
60,59,28,53,55,31,68,71,49,30.46,10,7,4,12,8,29
72,52,47,50,46,29,84,69,49,29.05,10,7,1,13,0,37
60,59,44,47,55,34,89,64,50,29.69,10,10,2,17,4,26
58,52,38,55,30,30,84,63,57,31.57,10,7,6,19,4,26
63,54,35,71,40,35,87,60,56,30.51,10,5,6,11,6,27
60,52,40,77,47,32,89,74,50,29.11,10,4,0,19,7,39
46,61,32,36,45,30,59,63,50,28.99,10,7,3,11,5,24
75,53,36,61,47,31,92,71,51,30.35,10,4,2,15,6,23
69,60,31,45,41,34,85,65,50,29.33,10,6,0,9,2,26
59,62,36,81,34,29,76,60,42,32.04,10,5,2,9,5,21
76,50,38,61,40,37,96,63,44,32.1,10,8,0,12,5,32
63,56,39,68,42,22,77,62,51,30.14,10,5,0,13,8,31
77,52,33,63,41,22,85,75,45,30.42,10,4,7,17,2,29
69,54,42,55,49,30,78,75,48,29.76,10,9,3,17,6,33
78,47,42,68,44,27,79,63,54,29.39,10,7,5,16,4,27
70,51,52,50,47,31,76,67,49,28.95,10,7,2,16,3,25
45,52,37,76,49,26,93,69,42,30.16,10,5,0,12,4,24
73,54,34,72,40,38,77,69,45,30.81,10,7,0,19,3,21
